id,sourceId,title,author,difficulty,popularity,about,startRow,startCol,startDirection,allowedCommands,slotsPerFunction,rows
catalog-676,676,Linked List II,snydej,4,107,Visit the rows in order of increasing red tiles,8,12,left,0,"[5, 5, 5, 5, 5]","[""r               "", ""GBRRRRRRRRRRRRRR"", ""GBBBBBBBBBBRRRR "", ""GBRRRRRRRRRR    "", ""GBBBBBBBRRRRRRR "", ""GBBBBRRRRRR     "", ""GBBBRRRRRRRRR   "", ""GBBBBBBRRRRRRRR "", ""GBBBBBBBBBBBr   "", ""GBBRRR          "", ""GBBBBBRRRRR     "", ""GBBBBBBBBBRR    ""]"
catalog-109,109,Second kind of memory,evko,3,313,Shortest demo for stack-based memory,5,0,right,0,"[5, 0, 0, 0, 0]","[""           bbbbb"", ""           b   b"", ""           b B b"", ""           bbb b"", ""               b"", ""grgrggrgggrggggb""]"
catalog-305,305,Follow directions,snydej,3,103,The bottom row tells the robot the colors on which it should turn.,10,0,right,0,"[4, 5, 5, 0, 0]","["" GBBR           "", ""    G       GRBR"", ""    B       B  G"", ""    B     GBBG B"", ""    B     G RR B"", ""    G     G    B"", ""GRBRBRRBBBBRBR G"", ""G   G     B  G B"", ""RRRBG     RGGR G"", ""               G"", ""bGRGRGRRRGGRRGRB""]"
catalog-85,85,Less or more?,igoro,3,205,,0,15,down,0,"[5, 5, 5, 0, 0]","[""brgggb brggb   b"", ""g    r g   r   g"", ""g    r g   g   r"", ""g    g g   g   r"", ""r    g g   g   r"", ""bggG g g   brrgb"", ""     g r        "", ""bgggrb bggrrrrrb"", ""r              g"", ""r              r"", ""g              r"", ""brrrrrrrrrrggggb""]"
catalog-188,188,Cut in half,igoro,3,490,,6,10,up,0,"[3, 6, 0, 0, 0]","[""      r        "", ""      b        "", ""      b        "", ""      b        "", ""      bB  r    "", ""      b   bbbbr"", ""      b   b b  "", ""      b     b  "", ""rbbbbbbbbbbbb  "", ""            b  "", ""            b  "", ""            r  ""]"
catalog-213,213,Can you count in binary?,snydej,4,96,binary counting without painting,11,0,up,0,"[10, 10, 10, 5, 5]","[""       G        "", ""       GG       "", ""       GGG      "", ""       GGG   G  "", ""   G   GGG   GG "", ""  GGG  GGGG  GG "", "" GGGGG GGGG GGGG"", ""GGGGGGGGGGGGGGGG"", ""bbbbbbbrrrbbbrbb"", ""bbrrrbbrrbrbbbrb"", ""brbrbrbrbrbbrbrr"", ""gggggggggggggggg""]"
catalog-558,558,8 ways,willbir,3,189,,10,6,right,0,"[10, 10, 10, 0, 0]","[""   bbb B bbbb   "", ""   bGBBBBBRGb   "", ""  bRbb B  bbBb  "", ""bbBbbbbB  bbbRbb"", ""bGbbGRBBBBBGbbGb"", ""bRbbBbbBb bRbbBb"", ""bB bRbbRbbbBbbRb"", "" B bGbbGBBRGbbGb"", "" BbBbbbbbbbbbBbb"", ""bBRb bbb  bbRb  "", ""bGb  bgRBBBGb   "", ""bbb  bbb  bbb   ""]"
catalog-97,97,Smart lemma,evko,4,91,"clear math, no hacker's features :)",9,0,right,0,"[3, 4, 4, 4, 0]","[""BbbbbbbbbB"", ""b        b"", ""bGgggggG b"", ""bg     g b"", ""bgRrrR g b"", ""bgr  r g b"", ""bgr  r g b"", ""brRrrR g b"", ""gggggggG b"", ""bbbbbbbbbB""]"
catalog-36,36,Explore the world,igoro,4,88,"It's small... and you have the ""Fast"" button",6,0,right,0,"[10, 5, 0, 0, 0]","[""RRR RR "", ""BBBRBBR"", ""BBBBBBR"", ""BR  RR "", ""BR  BBR"", ""BBRRBBR"", ""bBBBBBR""]"
catalog-354,354,Both Directions 0,snydej,3,264,The prelude to Both Directions,0,7,right,0,"[5, 3, 0, 0, 0]","[""BbbbbbbrbbbbbbB""]"
catalog-329,329,Layered Sheets,snydej,4,79,,5,10,up,4,"[4, 10, 10, 0, 0]","[""RRRRR GGGGGGGGGG"", ""G G G G        G"", ""G G G G GGGGGG G"", ""G G G G G    G G"", ""G G G G G BB G G"", ""G G G G G gG G G"", ""G G G      G G G"", ""G G BGGGGGGB G G"", ""G G          G G"", ""G GGGGGGGGGGGG G"", ""G              G"", ""GGGGGGGGGGGGGGGG""]"
catalog-318,318,Arithmetic,esef,3,230,Count red bricks,11,0,right,0,"[10, 10, 10, 0, 0]","[""bbgbbbbrbbbbbbb"", ""r             b"", ""b bbbgrbbbbrb b"", ""b r         g b"", ""b b bbbgrrb b b"", ""r g B     g b g"", ""g b       b b r"", ""b brbrbgbbb b r"", ""b           b r"", ""brrrrrgbbbbbb r"", ""              b"", ""brbrbbrbbbgbbbb""]"
catalog-310,310,Very Early Warning,snydej,4,75,"""And after that make another right""",4,14,left,0,"[5, 5, 5, 5, 0]","[""    RBG GBBBBBG"", ""    B B B     B"", ""    B B B RBBBR"", "" RBBR B B B    "", "" B    B B RBBBg"", "" B RBBR B      "", "" B B    B RBG  "", "" B RBBBBG B B  "", "" B        B GBR"", "" GBBBBBBBBG   B"", ""              B"", ""BBBBBBBBBBBBBBR""]"
catalog-241,241,Resonance 2,esef,3,74,With bugfixes,4,10,right,0,"[4, 8, 0, 0, 0]","[""Bbbbbbbbbbbbbbbr"", ""      Bbbbbbbbrg"", ""         Bbbbrg "", ""          Bbrg  "", ""          brg   ""]"
catalog-401,401,Color Changing,shahbawany,3,296,Toggle at junctions,9,2,right,7,"[6, 4, 0, 0, 0]","[""GBBGBBGBBGBBR"", ""Bb B bBbbB  B"", ""B  B  B  Bb B"", ""GBBRBBRBBRBBG"", ""            B"", ""            B"", ""GBBRBBRBBRBBR"", ""Bb B bBbbB  B"", ""Bb Bb Bb B bB"", ""GBbGBBGBBGBBR""]"
catalog-80,80,"RRB, RRG",igoro,2,422,,9,0,right,0,"[3, 3, 3, 0, 0]","[""gggggggggggrrg"", ""r            r"", ""r            r"", ""b  brrbbbbbbbg"", ""b  B          "", ""b             "", ""grrgrbrgrbggb "", ""            r "", ""            r "", ""bbggbbggbbrrb ""]"
catalog-34,34,Don't fall off the spiral,igoro,3,277,,6,6,right,0,"[5, 5, 0, 0, 0]","[""rbbbbbbbbbbr"", ""r          r"", ""r rbbbbbbr r"", ""r r      r r"", ""r r rbbr r r"", ""r r r  r r r"", ""r r r br r r"", ""r r r    r r"", ""r r rbbbbr r"", ""r r        r"", ""R rbbbbbbbbr""]"
catalog-335,335,Key mechanism,andos,3,69,"It's how you ""handle"" it that matters.",2,7,right,4,"[4, 7, 6, 2, 0]","[""           bbb "", ""          b   b"", ""bbbbbbbgbRbRbbR"", ""R  R R    b   b"", ""r  r r     bbb ""]"
catalog-346,346,Tree II,snydej,4,137,,0,7,down,0,"[10, 10, 10, 0, 0]","[""       g        "", ""       B        "", ""   GBBBBBBG     "", ""   B      B     "", "" GBBBBG RBBBG   "", "" B    B     B   "", ""RBBG RBBG RBBG  "", ""   B    B    B  "", "" GBBBR GBR GBBBR"", "" B     B   B    "", ""RBR RBBBR RBBBBR""]"
catalog-56,56,Turn on red ;-),igoro,2,266,,10,0,right,0,"[5, 5, 0, 0, 0]","[""rbbbbbbbbbgr"", ""b          g"", ""r          b"", ""b rgrbrbr  b"", ""b g     b  r"", ""g rbbbB b  b"", ""b       g  b"", ""rbbbbbbgr  r"", ""           b"", ""           b"", ""bbbbrbbbrbgr""]"
catalog-145,145,Speed control,evko,4,65,,8,0,up,0,"[3, 3, 3, 0, 0]","[""gggggggggg"", ""g        g"", ""g RggggR R"", ""g gRggRg g"", ""g ggRRgg g"", ""g ggRgRg g"", ""R gRgggR g"", ""g g      g"", ""g ggggggRg""]"
catalog-191,191,Reversed instructions,igoro,3,189,"Read instructions in reversed order, and then carry them out.",0,0,right,0,"[4, 4, 4, 0, 0]","[""gbrbrrbbrbbrrbg"", ""              g"", ""            ggg"", ""            g  "", ""            ggg"", ""              g"", ""        ggg ggg"", ""        g g g  "", ""      ggg ggg  "", ""      g        "", ""      G        ""]"
catalog-567,567,Linked Rings,markbyers,3,126,,0,0,right,0,"[5, 5, 5, 5, 0]","[""rbbR            "", ""b  b    RbbbbR  "", ""b RgbbR b    b  "", ""RbgR  b b  RbgbR"", ""  b RbgbgR b b b"", ""  b b b RgbgbR b"", ""  RbgbR  b b   b"", ""    b    b b   b"", ""RbbbgbR  b b   b"", ""b   b b  b RbbbR"", ""RbbbgbR  b      "", ""    RbbbbR      ""]"
catalog-2259,2259,The way back,igoro,2,63,Make sure you will find it!,7,7,right,3,"[4, 3, 3, 0, 0]","[""  RR   GbbbbbbB"", ""  GGG  b       "", ""  GbG  b GbbbbG"", ""   b   b b    b"", ""GbbR GbR b    b"", ""b    b   b    b"", ""GbbR b   GR   b"", ""   b GbbbbR   b"", "" GbR          b"", "" b   RbR      b"", "" b   b b RbbbbG"", "" GbbbG GbG     ""]"
catalog-249,249,straying from the path,wallacoloo,3,249,,0,0,right,0,"[5, 5, 5, 5, 0]","[""bbgbgbbgbgbgbgbB"", ""  b b  b b bRbR "", ""  G b  b b bRRR "", ""    b  b b b    "", "" Gbbr  b b b    "", ""     G b b b    "", ""rbbr b b b b    "", ""brrb rbr b b    "", ""bbbb b b b b    "", ""bbGb rbbbr b    "", ""brbr   G   b    "", ""rbbbbbbbbbbr    ""]"
catalog-257,257,Winding Path,snydej,5,62,,10,0,right,0,"[10, 10, 5, 5, 0]","[""        ggg     "", ""        g g     "", ""        g g ggg "", ""        g g g g "", ""ggg     g g g g "", ""g g     r g g g "", ""g g ggg r g r g "", ""r g g g r g r g "", ""r g r g r g r g "", ""r g r g r g r g "", ""g ggg ggg ggg gG""]"
catalog-236,236,Getting directions...,wallacoloo,3,123,...can be confusing.,5,7,right,4,"[10, 5, 5, 0, 0]","["" B        b  b "", ""BrB      brbGrb"", "" B        G  b "", "" b        b  b "", "" b  b    brb b "", ""brbGrb bbrGbbrb"", "" G  G    bb  G "", ""brbbrbbbbgrb b "", "" b  b     b  G "", ""            brb"", ""             b ""]"
catalog-597,597,Cumulative Effect,chief,4,122,,6,0,right,0,"[4, 2, 3, 3, 0]","[""   B BgB      "", ""   b b g      "", ""   r b r   BgB"", ""   g b g   r r"", ""   b b BgggB r"", ""   b b       r"", ""bbbbbbbbgrrB b"", ""   b g     b b"", ""   b BrrgB g b"", ""   b     r BgB"", ""   BrrrrrB    ""]"
catalog-555,555,The green mile,rilo,3,730,"""Walkin' the mile, walkin' the mile...""",0,11,left,0,"[4, 4, 0, 0, 0]","[""GBBBBBBBBBBb"", ""BGbbbbbbbBB "", ""BbGbbbbbBbB "", ""BbbGbbbBbbB "", ""BbbbGbBbbbB "", ""BbbbbGbbbbB "", ""BbbbbGbbbbB "", ""BbbbBbGbbbB "", ""BbbBbbbGbbB "", ""BbBbbbbbGbB "", ""BBbbbbbbbGB "", ""BBBBBBBBBBG ""]"
catalog-192,192,Bridge Finder,recursive,4,118,Remember... get the star.,5,0,right,1,"[10, 5, 5, 0, 0]","[""b b b b b b b b "", ""b b ggb b b b b "", ""b b b b b b b b "", ""b b b ggb ggb b "", ""b b b b b b b gG"", ""b ggb b b b b b "", ""b b b b ggb b b "", ""b b b b b b ggb "", ""ggb b b b b b b "", ""b b b b b b b b "", ""b b b b b b b b "", ""b b b b b b b b ""]"
catalog-492,492,Recursive turning,rainault,3,291,What the HECK are those red tiles for? Something about turning left... or not...,11,2,up,0,"[2, 5, 0, 0, 0]","[""     BbRbbbbbB  "", ""     b b     b  "", ""GbbbbRbB   BbRbB"", ""     b b   b b b"", ""     BbB   BbBbR"", ""BbB  BbB       b"", ""b b  b b       b"", ""BbRbbRbB     BbB"", ""  b  b       b b"", ""  b  BbRbbbbbRbB"", ""  b          b b"", ""  g          BbB""]"
catalog-203,203,Just rectangles,igoro,3,58,,6,8,right,1,"[10, 10, 2, 0, 0]","[""RbbbbB RbbbbR "", ""b    b b    b "", ""b    b b    b "", ""b    b b    b "", ""b    b bbbbbB "", ""Rbbbbbbb      "", ""      bbbbbbbR"", ""  Bbbbb b    b"", ""  b   b b    b"", ""  b   b BbbbbR"", ""  RbbbR       ""]"
catalog-1548,1548,Wiggle & Crawl,kraker,2,56,Two basic techniques,10,0,up,0,"[6, 0, 0, 0, 0]","[""   gbbbbg  gbbbg"", ""   gR  Rg  gR  b"", ""   gR  Rg  gR  b"", ""   gR  Rg  gR  b"", ""   gR  Rg  gR  b"", ""   gR  Rg  gR  b"", ""   gR  Rg  gR  b"", ""   gR  Rg  gR  b"", ""   gR  Rg  gR  b"", ""   gR  Rg  gR  b"", ""bbbbR  RbbbbR  R""]"
catalog-309,309,Early Warning,snydej,3,496,"""Turn right when you get up there.""",11,0,up,0,"[5, 5, 0, 0, 0]","[""GBBBBBBBBBBBG B"", ""B           B B"", ""GBBBBBBBG   B B"", ""        B   B B"", ""  RBR   B   B B"", ""  B B GBBBG B B"", ""  B B B B B B B"", ""RBBBR B RBG B B"", ""B B   B     B B"", ""B RBBBG RBBBR B"", ""B       B     B"", ""g       RBBBBBR""]"
catalog-511,511,Up then Down,ajji,3,606,,6,2,up,0,"[10, 0, 0, 0, 0]","[""      bbb"", ""     brrb"", ""    brr b"", ""   brr  b"", ""  brr   b"", "" brr    b"", ""bbr     B""]"
catalog-177,177,K,evko,3,55,,6,0,right,6,"[6, 0, 0, 0, 0]","[""GBBBBBG"", ""GBBBBGB"", ""GBBBGBB"", ""GBBGBBB"", ""GBGBBBB"", ""GGBBBBB"", ""rGGBBBB"", ""RBBGGBB"", ""RBBBBGG""]"
catalog-2848,2848,Pendant Defect,benjaminrr,2,55,,6,6,right,1,"[5, 0, 0, 0, 0]","[""     GG      "", ""    GbbG     "", ""    GbbG     "", ""     GG      "", "" GG  GG   GG "", ""GbbGGbbGGGbbG"", ""GbbGGbbGGGbbG"", "" GG  GG   GG "", ""     GG      "", ""    GbbG     "", ""    GbbG     "", ""     GG      ""]"
catalog-532,532,Spirelli,rilo,3,960,,0,0,right,0,"[6, 0, 0, 0, 0]","[""bbbbbbBbbbbbbbgr"", ""               b"", ""bbbbbBbbbbbbgr b"", ""r            b b"", ""b rbbbBbbbrg B b"", ""b g        B b B"", ""B B B      g b b"", ""b b bgbbBbbr b b"", ""b b          g b"", ""b grbbbbbBbbbr b"", ""b              g"", ""rgbbbbbbBbbbbbbr""]"
catalog-765,765,Rainbow Spiral,markbyers,2,52,,0,0,right,0,"[5, 5, 5, 0, 0]","[""rrrrggbbrrgggggr"", ""               r"", ""rrrgbbbbbrgbbg r"", ""g            g g"", ""r bbrggbrggr g g"", ""r r        g b g"", ""r r B      b b b"", ""r r brrbbggg b b"", ""b r          r b"", ""g rgrbbbbbggrb r"", ""g              r"", ""gbbbbbggrrrrbbbb""]"
catalog-178,178,Right Experiment,evko,3,103,,6,6,right,7,"[5, 0, 0, 0, 0]","[""    GbGGbG    "", ""    b bb b    "", ""GbbGGbbbbGGbbG"", ""bGbG  bb  GbGb"", ""bb b  bb  b bb"", ""GGbbbbrrbbbbGG"", ""GGbbbbrrbbbbGG"", ""bb b  bb  b bb"", ""bGbG  bb  GbGb"", ""GbbGGbbbbGGbbG"", ""    b bb b    "", ""    GbGGbG    ""]"
catalog-571,571,Bumbling Bee,thenick22,2,1902,Buzzed.,1,0,right,1,"[5, 0, 0, 0, 0]","[""    GG GG GG GG "", ""bbbbbGbbGbbGbbGB"", ""    GG GG GG GG ""]"
catalog-617,617,Turn around 3,wallacoloo,3,51,Clearly inspired by Mark Byers' puzzle,0,2,left,0,"[2, 10, 0, 0, 0]","[""  bbbbbbRbbbbbb"", ""              b"", ""bbRbbbRbb     b"", ""b   b   b     b"", ""b bbRbb b     R"", ""b R b R R     b"", ""R bRbRb b bRb b"", ""b       b R b b"", ""b BbbRbbb bbRbb"", ""b           b  "", ""bbbbbbRbbbbbb  ""]"
catalog-4899,4899,My first maze,kordalia,2,51,A simple maze,5,7,right,7,"[5, 3, 0, 0, 0]","[""rbbbbr   rbbbbr"", ""b    b   b    b"", ""rbbbbbbb b    b"", ""     b B b    b"", ""     b   b    b"", ""   bbr bbbbbbbr"", ""   b     b     "", "" rbbbbbbbb     "", "" b b           "", "" b bbgbbbbbbbbr"", "" b            b"", "" rbbbbbbbbbbbbr""]"
catalog-1848,1848,Symmetry :),lendesg,3,50,kind of symmetry,0,0,right,0,"[6, 0, 0, 0, 0]","[""gggggr "", ""  rgggr"", ""  g  gg"", ""  g  gg"", ""  rggrg"", ""Bgggggr"", ""B      "", ""BBBBBB "", ""BB  BB "", ""BB  BB "", ""BBBBBB "", ""BBBBB  ""]"
catalog-444,444,Not yet... not yet...,markbyers,3,599,,0,0,right,0,"[5, 5, 0, 0, 0]","[""rbbbrbbbbbrbbbbr"", ""               b"", ""rbrbbbbrbbbbbr b"", ""b            b b"", ""b rbrrbbbbbr r b"", ""b b        r r r"", ""b r B      r b b"", ""b b rbrbbrbr b b"", ""b r          b b"", ""r rbbbbrrbbbbr b"", ""r              r"", ""rbbbbrbbbbbrbbbr""]"
catalog-1085,1085,"Red Light, Green Light",beaza,2,49,,11,0,up,0,"[4, 4, 4, 0, 0]","[""bbbbbbbbbbbbbbb"", ""g g g g g g g g"", ""b b b b b b b b"", ""b b b b b b b b"", ""b b b b b b b b"", ""b b b b b b b b"", ""b b b b b b b b"", ""b b b b b b b b"", ""b b b b b b b b"", ""b b b b b b b b"", ""b b b b b b b b"", ""r R R R R R R R""]"
catalog-1147,1147,Overlapping Crosses,markbyers,3,49,,3,0,right,0,"[5, 5, 5, 0, 0]","[""       b   B    "", ""  B    b  brb   "", ""  b    b   g    "", ""bbrbgbbrbbgrb   "", ""  b    b   b    "", ""  B    b    b   "", ""   b   g    b   "", ""   b   b    b   "", "" bbrbgbrbgbbrbbb"", ""   b   b    b   "", ""   b   b    b   "", ""            b   ""]"
catalog-244,244,Waveform,recursive,3,188,,5,0,right,0,"[8, 6, 6, 0, 0]","[""    R   R   R   "", ""   Rb R b R b  R"", "" R bb bRb b bR b"", "" bRbbRbbb bRbb b"", ""RbbbbbbbbRbbbbRb"", ""bbbbbbbbbbbbbbbb"", ""BbbbbbbbbBbbbbBb"", "" bbbbBbbb bBbb b"", "" B bb bBb b bB b"", ""   Bb B b B b  B"", ""    B   B   B   ""]"
catalog-635,635,Clean Your Room,bahkoo,3,47,,10,15,left,4,"[4, 4, 0, 0, 0]","[""bbbbbbbbbbbbbbbb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bRRRRRRRRRRRRRRb"", ""bbbbbbbbbbbbbbbb""]"
catalog-982,982,Stack Memory Tutorial 2,markbyers,3,47,2 Function Method,10,0,right,0,"[3, 5, 0, 0, 0]","[""        rrrrr  "", ""        r   r  "", ""        R   r  "", ""            r  "", ""          rrrrr"", ""          r r r"", ""          rrr r"", ""              r"", ""              r"", ""              r"", ""rgbgbbgggbgbbgr""]"
catalog-193,193,Fix the path,igoro,3,322,,4,0,right,2,"[5, 5, 0, 0, 0]","["" BggggggggggggB"", "" g            g"", "" BgggR RggggggB"", ""     g g       "", ""bbBbbbbbbbBbBbR"", ""g g  g g  g g g"", ""g g  g g  g g g"", ""g g  g g  g g g"", ""g rggr RggR RgR"", ""g              "", ""BgggggggggggggG""]"
catalog-332,332,Power-of-2 generator,igoro,4,184,Don't count the greens,9,1,right,0,"[3, 10, 6, 0, 0]","["" gbbbbbbbbbbg"", "" b          b"", "" b          b"", "" bR         b"", "" b         Rb"", "" gbbbbbbbB  b"", ""            b"", ""            b"", "" RR R   R   b"", ""rbbbbbbbbbbbg""]"
catalog-896,896,Return,sticky,3,46,Go back half as far or twice as far,0,0,right,0,"[10, 10, 0, 0, 0]","[""rbbbbbbbbbbbbbbR"", ""       b        "", ""    rr bbbbbbbbR"", ""    rr     b    "", ""  r rr     bbbbR"", "" rr rr       R  "", ""rrrrrr       R  "", ""rrrrrr     ggggR"", "" rr        g    "", ""  r    ggggggggR"", ""       g        "", ""RggggggggggggggR""]"
catalog-1199,1199,Resonance,evko,3,46,,6,7,right,0,"[5, 5, 0, 0, 0]","[""       B     "", ""       B     "", ""       B     "", ""       B     "", ""       B     "", ""       B     "", ""BBBBBBBgBBBBB"", ""       B     "", ""       B     "", ""       B     "", ""       B     "", ""       B     ""]"
catalog-983,983,Stack Memory Tutorial 3,markbyers,3,45,3 function method,8,0,right,0,"[2, 5, 5, 0, 0]","[""           rrr  "", ""           r r  "", ""         rrr rrr"", ""         r     r"", ""         rrR rrr"", ""             r  "", ""             rrr"", ""               r"", ""bggbggbggbbggrrr""]"
catalog-1016,1016,Red - Blue,zephyrmation,3,45,With a stylish green background,9,0,right,0,"[3, 2, 3, 0, 0]","[""          grBg"", ""          B  g"", ""          g  r"", ""          g  g"", ""          r  b"", ""          g  g"", ""          g  g"", ""          gG g"", ""             G"", ""gggbggggrggggg""]"
catalog-536,536,Recursed,rilo,3,796,A simple puzzle for understanding the call stack,0,0,right,0,"[3, 3, 0, 0, 0]","[""bbbbbbbgbbbbbbb"", ""              b"", ""bbbbbbrbbbbbb b"", ""b           b b"", ""b bbbbgbbbb b b"", ""b b       r g r"", ""r g Bbbbbbb b b"", ""b b         b b"", ""b bbbbbrbbbbb b"", ""b             b"", ""bbbbbbbgbbbbbbb""]"
catalog-345,345,Orbits,snydej,3,44,Visit each planet (then visit Pluto),2,0,right,2,"[4, 10, 0, 0, 0]","["" BBBBB  BGBBBBRB"", "" BBBBB  BBB  BBB"", ""bBBGBB       BGB"", "" RBBBBBBBB   BBB"", "" B    RBBB    B "", "" B    BBGB    B "", ""BBB   BBBB  BBB "", ""BGB   B B   BGR "", ""BBB   B R   BBB "", ""BBBRBBBGB    B  "", ""      G      R  "", ""      BRBBBBGB  ""]"
catalog-55,55,Zig zig,stingray,3,307,"Red means left... no, right... er, left.",11,0,right,0,"[5, 5, 0, 0, 0]","[""    rbbg       "", ""rbbbr  gbg rbbg"", ""b        b b  b"", ""b rbbbg rr b rr"", ""b b   b b  b b "", ""gbr rbr gbbr gg"", ""    b         b"", "" rbbr rbbbbbg b"", "" b    b     b b"", "" gg rbr rbg b b"", ""  b b   b b gbr"", ""bbr gbbbr B    ""]"
catalog-293,293,Multiple Personalities,snydej,3,43,Turn which way? on what color?,0,0,right,0,"[7, 7, 0, 0, 0]","[""gRRB BRGRRB BRRB"", ""   R R    R R  R"", ""BR G BRGR G G  R"", ""R  B    B B B  G"", ""R  RBBBBR B B  R"", ""R         RBR  R"", ""BRGR           G"", ""   B RBBBBBGBR R"", ""BGBR B       B R"", ""R    RGRB BGBR R"", ""R       R R    R"", ""BRRRRRRRB BRRGRB""]"
catalog-389,389,parity snake,shahbawany,3,381,,5,0,right,7,"[4, 3, 0, 0, 0]","[""GG     "", ""GBbg   "", ""   b   "", ""   b   "", ""   b   "", ""bg gbbg"", "" b    b"", "" gbbg b"", ""    b b"", ""    gbg""]"
catalog-33,33,Can you count?,igoro,3,168,,0,1,right,0,"[10, 5, 5, 0, 0]","[""rggbB      "", ""rgB        "", ""rgggbbB    "", ""rggbB      "", ""rgggggbbbbB"", ""rggbB      "", ""rgggbbB    "", ""rgB        "", ""rggbB      ""]"
